product_id,product_name,category,unit_price
101,Product_101,Clothing,38913
102,Product_102,Furniture,12154
103,Product_103,Clothing,15230
104,Product_104,Clothing,9567
105,Product_105,Furniture,46815
106,Product_106,Furniture,21275
107,Product_107,Furniture,59882
108,Product_108,Clothing,1251
109,Product_109,Electronics,52076
110,Product_110,Furniture,51236
111,Product_111,Clothing,39287
112,Product_112,Furniture,35029
113,Product_113,Clothing,50803
114,Product_114,Furniture,57449
115,Product_115,Clothing,39753
116,Product_116,Clothing,38129
117,Product_117,Clothing,56777
118,Product_118,Clothing,47566
119,Product_119,Electronics,55316
120,Product_120,Furniture,2736
121,Product_121,Clothing,33331
122,Product_122,Electronics,21487
123,Product_123,Electronics,8221
124,Product_124,Furniture,5469
125,Product_125,Furniture,1488
126,Product_126,Furniture,45888
127,Product_127,Electronics,47319
128,Product_128,Clothing,32449
129,Product_129,Electronics,49482
130,Product_130,Clothing,34019
131,Product_131,Clothing,51026
132,Product_132,Clothing,28960
133,Product_133,Furniture,45001
134,Product_134,Electronics,46438
135,Product_135,Electronics,37183
136,Product_136,Electronics,7774
137,Product_137,Furniture,32113
138,Product_138,Furniture,36691
139,Product_139,Furniture,44310
140,Product_140,Furniture,13101
141,Product_141,Clothing,59241
142,Product_142,Furniture,20202
143,Product_143,Clothing,14834
144,Product_144,Clothing,28441
145,Product_145,Clothing,5488
146,Product_146,Furniture,46930
147,Product_147,Clothing,789
148,Product_148,Clothing,42156
149,Product_149,Furniture,48527
150,Product_150,Electronics,11072
